representative	product	locus_tag
VNG_0733H	DUF1684 family protein	VNG_0733H,VNG_RS02875,VNG0733H
VNG_0734G	transcription initiation factor TFB	VNG_0734G,VNG_RS02880,VNG0734G
VNG_0735G	receiver box response regulator	VNG_0735G,VNG_RS02885,VNG0735G
VNG_0736G	sensor box histidine kinase	VNG_0736G,VNG_RS02890,VNG0736G
VNG_0737H	uncharacterized protein	VNG_0737H,VNG_RS02900,VNG0737H
VNG_0738H	uncharacterized protein	VNG_0738H,VNG_RS02895,VNG0738H
VNG_0740C	cyclase family protein	VNG_0740C,VNG_RS02905,VNG0740C
VNG_0741H	uncharacterized protein	VNG_0741H,VNG_RS02910,VNG0741H
VNG_0742H	DICT domain protein	VNG_0742H,VNG_RS02915,VNG0742H
VNG_0743H	UspA domain protein	VNG_0743H,VNG_RS02920,VNG0743H
VNG_0745G	SpoVR family protein	VNG_0745G,VNG_RS02925,VNG0745G
VNG_0746C	UPF0229 family protein	VNG_0746C,VNG_RS02930,VNG0746C
VNG_0748G	probable PrkA-type serine/threonine proteinkinase	VNG_0748G,VNG_RS02935,VNG0748G
VNG_0749G	probable PrkA-type serine/threonine proteinkinase	VNG_0749G,VNG_RS02940,VNG0749G
VNG_0750C	GAF domain protein	VNG_0750C,VNG_RS02945,VNG0750C
VNG_0751C	PadR family transcription regulator	VNG_0751C,VNG_RS02950,VNG0751C
VNG_0752G	GalE family epimerase/dehydratase	VNG_0752G,VNG_RS02955,VNG0752G
VNG_0753G	transport protein (probable substratephosphate/sulfate)	VNG_0753G,VNG_RS02960,VNG0753G
VNG_0754C	glutamate/valine-rich protein	VNG_0754C,VNG_RS02965,VNG0754C
VNG_0755C	tRNA (cytidine(56)-2'-O)-methyltransferase	VNG_0755C,VNG_RS02970,VNG0755C
VNG_0757G	transcription initiation factor TFE alpha subunit	VNG_0757G,VNG_RS02975,VNG0757G
VNG_0758C	DUF2110 family protein	VNG_0758C,VNG_RS02980,VNG0758C
VNG_0759H	uncharacterized protein	VNG_0759H,VNG_RS02985,VNG0759H
VNG_0761G	ADP-ribose pyrophosphatase	VNG_0761G,VNG_RS02990,VNG0761G
VNG_0762H	uncharacterized protein	VNG_0762H,VNG0762H
VNG_0763G	probable PAP2-type phosphatase	VNG_0763G,VNG_RS02995,VNG0763G
VNG_0764C	homolog to NAD kinase	VNG_0764C,VNG_RS03000,VNG0764C
VNG_0765H	uncharacterized protein	VNG_0765H,VNG_RS03005,VNG0765H
VNG_0766G	PhoU domain protein	VNG_0766G,VNG_RS03010,VNG0766G
VNG_0767H	uncharacterized protein	VNG_0767H,VNG_RS03015,VNG0767H
VNG_0768H	HTH domain protein	VNG_0768H,VNG_RS03020,VNG0768H
VNG_0769H	START domain protein	VNG_0769H,VNG_RS03025,VNG0769H
VNG_0771a	RIO-type protein kinase domain protein	VNG_0771a,VNG_RS03035,VNG0772a
VNG_0771G	aldehyde dehydrogenase	VNG_0771G,VNG_RS03030,VNG0771G
VNG_0772H	spurious ORF	VNG_0772H,VNG0772H
VNG_0775G	acyl-CoA dehydrogenase	VNG_0775G,VNG_RS03040,VNG0775G
VNG_0777G	FAD synthase	VNG_0777G,VNG_RS03045,VNG0777G
VNG_0778C	JAB domain protein	VNG_0778C,VNG_RS03050,VNG0778C
VNG_0779a	phospholipase D domain protein	VNG_0779a,VNG_RS03060
VNG_0782H	HEAT-PBS family protein	VNG_0782H,VNG_RS03065,VNG0782H
VNG_0784G	probable archaetidylserine synthase	VNG_0784G,VNG_RS03070,VNG0784G
VNG_0786G	halocyanin HcpH	VNG_0786G,VNG_RS03075,VNG0786G
VNG_0787G	30S ribosomal protein S1e	VNG_0787G,VNG_RS03080,VNG0787G
VNG_0788H	uncharacterized protein	VNG_0788H,VNG_RS03085,VNG0788H
VNG_0789C	probable replication complex protein RecJ2	VNG_0789C,VNG_RS03090,VNG0789C
VNG_0790G	30S ribosomal protein S15	VNG_0790G,VNG_RS03095,VNG0790G
VNG_0793G	transducer protein HtrVI	VNG_0793G,VNG_RS03105,VNG0793G
VNG_0794G	chemotactic signal transduction systemperiplasmic substrate-binding protein	VNG_0794G,VNG_RS03110,VNG0794G
VNG_0795G	halocyanin HcpC	VNG_0795G,VNG_RS03115,VNG0795G
VNG_0796G	cystathionine synthase/lyase (cystathionine gamma-synthase, cystathionine gamma-lyase, cystathioninebeta-lyase)	VNG_0796G,VNG_RS03120,VNG0796G
VNG_0798H	uncharacterized protein	VNG_0798H,VNG_RS03125,VNG0798H
VNG_0799C	ABC-type transport system ATP-binding protein	VNG_0799C,VNG_RS03130,VNG0799C
VNG_0800H	ABC-type transport system permease protein	VNG_0800H,VNG_RS03135,VNG0800H
VNG_0801C	Sec-independent protein translocase proteinTatA	VNG_0801C,VNG_RS03145,VNG0801C
VNG_0804C	HD family hydrolase	VNG_0804C,VNG_RS03150,VNG0804C
VNG_0806G	transducer protein Htr4	VNG_0806G,VNG_RS03155,VNG0806G
VNG_0808G	succinate-semialdehyde dehydrogenase	VNG_0808G,VNG_RS03160,VNG0808G
VNG_0810H	uncharacterized protein	VNG_0810H,VNG_RS03165,VNG0810H
VNG_0811H	uncharacterized protein	VNG_0811H,VNG_RS03170,VNG0811H
VNG_0812G	transducer protein Htr18	VNG_0812G,VNG_RS03175,VNG0812G
VNG_0813G	chemotactic signal transduction systemperiplasmic substrate-binding protein	VNG_0813G,VNG_RS03180,VNG0813G
VNG_0814C	homolog to NAD-dependent epimerase/dehydratase	VNG_0814C,VNG_RS03185,VNG0814C
VNG_0815G	NADPH:quinone reductase	VNG_0815G,VNG_RS03190,VNG0815G
VNG_0816G	chitinase	VNG_0816G,VNG_RS03195,VNG0816G
VNG_0818C	chitinase	VNG_0818C,VNG_RS03200,VNG0818C
VNG_0819C	chitin-binding domain protein	VNG_0819C,VNG_RS03205,VNG0819C
VNG_0821C	tRNA(carboxymethyluridine(34)-5-O)-methyltransferase	VNG_0821C,VNG_RS03215,VNG0821C
VNG_0822C	type IV pilus biogenesis complex membranesubunit	VNG_0822C,VNG_RS03220,VNG0822C
VNG_0823G	type IV pilus biogenesis complex ATPase subunit	VNG_0823G,VNG_RS03225,VNG0823G
VNG_0824G	molybdenum cofactor guanylyltransferase	VNG_0824G,VNG_RS03230,VNG0824G
VNG_0825C	molybdopterin-guanine dinucleotide biosynthesisadapter protein MobB	VNG_0825C,VNG_RS03235,VNG0825C
VNG_0826C	HTH-10 family transcription regulator DmsR	VNG_0826C,VNG_RS03240,VNG0826C
VNG_0828H	uncharacterized protein	VNG_0828H,VNG_RS03245,VNG0828H
VNG_0829G	dimethylsulfoxide reductase subunit A	VNG_0829G,VNG_RS03250,VNG0829G
VNG_0830G	dimethylsulfoxide reductase subunit B	VNG_0830G,VNG_RS03255,VNG0830G
VNG_0831G	dimethylsulfoxide reductase subunit C	VNG_0831G,VNG_RS03260,VNG0831G
VNG_0832C	Tat proofreading chaperone DmsD	VNG_0832C,VNG_RS03265,VNG0832C
VNG_0834C	DUF106 family protein	VNG_0834C,VNG_RS03270,VNG0834C
VNG_0835a	probable halocin (homolog to halocin C8)	VNG_0835a,VNG_RS03280
VNG_0835b	uncharacterized protein	VNG_0835b
VNG_0835G	SirR/DtxR family transcription regulator Idr2	VNG_0835G,VNG_RS03275,VNG0835G
VNG_0836H	uncharacterized protein	VNG_0836H,VNG0836H
VNG_0837H	uncharacterized protein	VNG_0837H,VNG_RS03290,VNG0837H
VNG_0838G	XerC/D-like integrase	VNG_0838G,VNG_RS03295,VNG0838G
VNG_0841G	carbonic anhydrase	VNG_0841G,VNG_RS03305,VNG0841G
VNG_0845C	probable S-adenosylmethionine-dependentmethyltransferase	VNG_0845C,VNG_RS03310,VNG0845C
VNG_0846C	VKGC domain protein	VNG_0846C,VNG_RS03315,VNG0846C
VNG_0847H	uncharacterized protein	VNG_0847H,VNG_RS03320,VNG0847H
VNG_0849C	probable coiled coil protein	VNG_0849C,VNG_RS03325,VNG0849C
VNG_0851C	metal-dependent hydrolase domain protein	VNG_0851C,VNG_RS03330,VNG0851C
VNG_0852C	HTH-10 family transcription regulator	VNG_0852C,VNG_RS03335,VNG0852C
VNG_0853C	DUF964 family protein	VNG_0853C,VNG_RS03340,VNG0853C
VNG_0854C	2-(3-amino-3-carboxypropyl)histidine synthase	VNG_0854C,VNG_RS03345,VNG0854C
VNG_0857C	probable rRNA methyltransferase	VNG_0857C,VNG_RS03350,VNG0857Cm
VNG_0858C	probable rhomboid family protease	VNG_0858C,VNG_RS03355,VNG0858C
VNG_0860G	DNA-directed RNA polymerase subunit L	VNG_0860G,VNG_RS03360,VNG0860G
VNG_0861H	UspA domain protein	VNG_0861H,VNG_RS03370,VNG0861H
VNG_0862G	imidazole glycerol-phosphate synthase subunitHisF	VNG_0862G,VNG_RS03365,VNG0862G
VNG_0863H	uncharacterized protein	VNG_0863H,VNG_RS14180,VNG0863H
VNG_0864G	phosphoribosylformylglycinamidine synthasesubunit PurL	VNG_0864G,VNG_RS03375,VNG0864G
VNG_0865C	PHP domain protein	VNG_0865C,VNG_RS03380,VNG0865C
VNG_0867G	asparagine synthase (glutamine-hydrolyzing)	VNG_0867G,VNG_RS03385,VNG0867G
VNG_0868H	NUDIX family hydrolase	VNG_0868H,VNG_RS03390,VNG0868H
VNG_0869G	transcription initiation factor TFB	VNG_0869G,VNG_RS03395,VNG0869G
VNG_0870G	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferasesubunit C	VNG_0870G,VNG_RS03400,VNG0870G
VNG_0872G	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferasesubunit A	VNG_0872G,VNG_RS03405,VNG0872G
VNG_0873G	thioesterase domain protein	VNG_0873G,VNG_RS03410,VNG0873G
VNG_0874G	TraB family protein	VNG_0874G,VNG_RS03415,VNG0874G
VNG_0875C	M50 family metalloprotease	VNG_0875C,VNG_RS03420,VNG0875Cm
VNG_0876G	phosphoribosylformylglycinamidine cyclo-ligase	VNG_0876G,VNG_RS03425,VNG0876G
VNG_0878G	HTH/CBS domain protein	VNG_0878G,VNG_RS03430,VNG0878Gm
VNG_0879C	UPF0212 family protein	VNG_0879C,VNG_RS03435,VNG0879C
VNG_0880G	proteasome beta subunit	VNG_0880G,VNG_RS03440,VNG0880G
VNG_0881G	DNA ligase (ATP)	VNG_0881G,VNG_RS03445,VNG0881G
VNG_0882G	HAD superfamily hydrolase	VNG_0882G,VNG_RS03450,VNG0882Gm
VNG_0883H	metal-dependent hydrolase domain protein	VNG_0883H,VNG_RS03455,VNG0883H
VNG_0884G	DNA topoisomerase 6 subunit A	VNG_0884G,VNG_RS03460,VNG0884G
VNG_0885G	DNA topoisomerase 6 subunit B	VNG_0885G,VNG_RS03465,VNG0885G
VNG_0887G	DNA gyrase subunit B	VNG_0887G,VNG_RS03470,VNG0887G
VNG_0889G	DNA gyrase subunit A	VNG_0889G,VNG_RS03475,VNG0889G
VNG_0890G	DUF293 domain protein	VNG_0890G,VNG_RS03480,VNG0890G
VNG_0891G	probable NADH dehydrogenase	VNG_0891G,VNG_RS03485,VNG0891G
VNG_0892a	UPF0157 family protein	VNG_0892a,VNG_RS03490,VNG0892a
VNG_0892H	uncharacterized protein	VNG_0892H,VNG_RS14185,VNG0892H
VNG_0893G	uridine phosphorylase	VNG_0893G,VNG_RS03495,VNG0893G
VNG_0896G	cytidine deaminase	VNG_0896G,VNG_RS03500,VNG0896G
VNG_0897G	ABC-type transport system permease protein(probable substrate sugar)	VNG_0897G,VNG_RS03505,VNG0897G
VNG_0898G	ABC-type transport system permease protein(probable substrate sugar)	VNG_0898G,VNG_RS03510,VNG0898G
VNG_0901G	ABC-type transport system ATP-binding protein(probable substrate sugar)	VNG_0901G,VNG_RS03515,VNG0901G
VNG_0903C	ABC-type transport system periplasmicsubstrate-binding protein (probable substrate sugar)	VNG_0903C,VNG_RS03520,VNG0903C
VNG_0905G	phosphohexomutase (phosphoglucomutase /phosphomannomutase)	VNG_0905G,VNG_RS03525,VNG0905G
VNG_0906H	uncharacterized protein	VNG_0906H,VNG_RS03530,VNG0906H
VNG_0907H	uncharacterized protein	VNG_0907H,VNG_RS14190,VNG0907H
VNG_0908G	SSSF family transport protein	VNG_0908G,VNG_RS03535,VNG0908G
VNG_0909H	uncharacterized protein	VNG_0909H,VNG_RS03540,VNG0909H
VNG_0911H	uncharacterized protein	VNG_0911H,VNG_RS03545,VNG0911H
VNG_0913H	uncharacterized protein	VNG_0913H,VNG_RS03550,VNG0913H
VNG_0914H	uncharacterized protein	VNG_0914H,VNG_RS03555,VNG0914H
VNG_0915G	kynureninase	VNG_0915G,VNG_RS03560,VNG0915G
VNG_0916G	sensor box histidine kinase	VNG_0916G,VNG_RS03565,VNG0916G
VNG_0917G	receiver box response regulator	VNG_0917G,VNG_RS03570,VNG0917G
VNG_0918H	ISH4-type transposase ISH4	VNG_0918H,VNG_7107,VNG_RS03575,VNG_RS12770,VNG0918H,VNG5149H
VNG_0919G	dolichyl-phosphate hexosyltransferase	VNG_0919G,VNG_RS03580,VNG0919G
VNG_0920H	uncharacterized protein	VNG_0920H,VNG_RS03585,VNG0920H
VNG_0921G	ABC-type transport system ATP-binding protein	VNG_0921G,VNG_RS03590,VNG0921G
VNG_0923G	ABC-type transport system permease protein	VNG_0923G,VNG_RS03595,VNG0923G
VNG_0924G	ABC-type transport system periplasmicsubstrate-binding protein	VNG_0924G,VNG_RS03600,VNG0924G
VNG_0925C	homolog to arabinopyranose mutase	VNG_0925C,VNG_RS03605,VNG0925C
VNG_0926H	spurious ORF	VNG_0926H,VNG0926H
VNG_0927C	uncharacterized protein	VNG_0927C,VNG_RS03610,VNG0927C
VNG_0928G	ARM/HEAT repeat protein / protein kinase domainprotein	VNG_0928G,VNG_RS03615,VNG0928G
VNG_0930G	monooxygenase (homolog to alkanesulfonatemonooxygenase)	VNG_0930G,VNG_RS03620,VNG0930G
VNG_0931G	acetyl-CoA C-acetyltransferase catalyticsubunit	VNG_0931G,VNG_RS03625,VNG0931G
VNG_0932C	acetyl-CoA C-acetyltransferase small subunit	VNG_0932C,VNG_RS03630,VNG0932C
VNG_0933G	NamA family oxidoreductase	VNG_0933G,VNG_RS03635,VNG0933G
VNG_0934H	uncharacterized protein	VNG_0934H,VNG_RS14195,VNG0934H
VNG_0935G	nitroreductase family protein	VNG_0935G,VNG_RS03640,VNG0935G
VNG_0936C	probable carbon-nitrogen hydrolase	VNG_0936C,VNG_RS03645,VNG0936C
VNG_0937G	aldehyde dehydrogenase	VNG_0937G,VNG_RS03650,VNG0937G
VNG_0938G	GufA family transport protein (probablesubstrate zinc)	VNG_0938G,VNG_RS03655,VNG0938G
VNG_0940G	acetate--CoA ligase (ADP-forming)	VNG_0940G,VNG_RS03660,VNG0940Gm
VNG_0941C	DRTGG domain protein	VNG_0941C,VNG_RS03665,VNG0941C
VNG_0942G	purine-binding taxis protein CheW	VNG_0942G,VNG_RS03670,VNG0942G
VNG_0943C	HTH domain protein	VNG_0943C,VNG_RS03675,VNG0943C
VNG_0945H	uncharacterized protein	VNG_0945H,VNG_RS03680,VNG0945H
VNG_0946G	ParA domain protein (arl operon protein ParA1)	VNG_0946G,VNG_RS03685,VNG0946G
VNG_0947G	archaellar motor/biogenesis protein ArlJ	VNG_0947G,VNG_RS03690,VNG0947G
VNG_0949G	archaellar motor/biogenesis protein ArlI	VNG_0949G,VNG_RS03695,VNG0949G
VNG_0950a	arl cluster protein ArlG	VNG_0950a,VNG_RS03705,VNG0950a
VNG_0950G	arl cluster protein ArlH	VNG_0950G,VNG_RS03700,VNG0950G
VNG_0953C	arl cluster protein ArlF	VNG_0953C,VNG_RS03710,VNG0953C
VNG_0954C	arl cluster protein ArlCE	VNG_0954C,VNG_RS03715,VNG0954C
VNG_0955G	arl cluster protein ArlD	VNG_0955G,VNG_RS03720,VNG0955G
VNG_0958G	transducer protein Htr15	VNG_0958G,VNG_RS03725,VNG0958G
VNG_0959H	uncharacterized protein	VNG_0959H,VNG_RS03730,VNG0959H
VNG_0960G	archaellin B1	VNG_0960G,VNG_RS03735,VNG0960G
VNG_0961G	archaellin B2	VNG_0961G,VNG_RS03740,VNG0961G
VNG_0962G	archaellin B3	VNG_0962G,VNG_RS03745,VNG0962G
VNG_0963G	HEAT-PBS family taxis protein	VNG_0963G,VNG_RS03750,VNG0963G
VNG_0964C	taxis protein CheF1	VNG_0964C,VNG_RS03755,VNG0964C
VNG_0965C	taxis protein CheF2	VNG_0965C,VNG_RS03760,VNG0965C
VNG_0966G	protein-glutamate O-methyltransferase CheR	VNG_0966G,VNG_RS03765,VNG0966G
VNG_0967G	taxis cluster protein CheD	VNG_0967G,VNG_RS03770,VNG0967Gm
VNG_0969H	taxis cluster protein CheC	VNG_0969H,VNG_RS03775,VNG0969H
VNG_0970G	taxis cluster protein CheC	VNG_0970G,VNG_RS03780,VNG0970G
VNG_0971G	taxis sensor histidine kinase CheA	VNG_0971G,VNG_RS03785,VNG0971G
VNG_0973G	protein-glutamate methylesterase /protein-glutamine glutaminase CheB	VNG_0973G,VNG_RS03790,VNG0973G
VNG_0974G	response regulator CheY	VNG_0974G,VNG_RS03795,VNG0974G
VNG_0976G	purine-binding taxis protein CheW	VNG_0976G,VNG_RS03800,VNG0976G
VNG_0978H	uncharacterized protein	VNG_0978H,VNG_RS03805,VNG0978H
VNG_0979H	uncharacterized protein	VNG_0979H,VNG_RS03810,VNG0979H
VNG_0981C	pyridoxal phosphate-dependent aminotransferase (homolog to histidinol-phosphate aminotransferase /aspartate aminotransferase)	VNG_0981C,VNG_RS03815,VNG0981C
VNG_0982C	PRC domain protein	VNG_0982C,VNG_RS03820,VNG0982C
VNG_0983C	DHH/RecJ family phosphoesterase	VNG_0983C,VNG_RS03825,VNG0983C
VNG_0985a	uncharacterized protein	VNG_0985a,VNG_RS03840
VNG_0985H	HTH domain protein	VNG_0985H,VNG_RS03835,VNG0985H
VNG_0986H	SWIM zinc finger domain protein	VNG_0986H,VNG_RS03845,VNG0986H
VNG_0987a	small CPxCG-related zinc finger protein	VNG_0987a
VNG_0987H	small CPxCG-related zinc finger protein	VNG_0987H,VNG_RS13295,VNG0987H
VNG_0988H	DUF2085 family protein	VNG_0988H,VNG_RS13300,VNG0988H
VNG_0989C	XerC/D-like integrase	VNG_0989C,VNG_RS03850,VNG0989C
VNG_0990H	uncharacterized protein	VNG_0990H,VNG_RS14200,VNG0990H
VNG_0991H	uncharacterized protein	VNG_0991H,VNG_RS03855,VNG0991H
VNG_0992a	ISH9-type transposase (nonfunctional)	VNG_0992a
VNG_0992H	uncharacterized protein	VNG_0992H,VNG_RS03860,VNG0992H
VNG_0993a	homolog to phage PhiH1 repressor protein (C-term)(nonfunctional)	VNG_0993a
VNG_0993H	uncharacterized protein	VNG_0993H,VNG_RS03865,VNG0993H
VNG_0994a	homolog to phage PhiH1 repressor protein (N-term)(nonfunctional)	VNG_0994a
VNG_0994b	basic protein bp4	VNG_0994b
VNG_0995H	small CPxCG-related zinc finger protein	VNG_0995H,VNG_RS03870,VNG0995H
VNG_0996G	integrase family protein / bat box HTH-10 familytranscription regulator	VNG_0996G,VNG_RS03875,VNG0996G
VNG_0997G	acyl-CoA synthetase	VNG_0997G,VNG_RS03880,VNG0997G
VNG_0998G	probable oxidoreductase (aldo-keto reductasefamily protein)	VNG_0998G,VNG_RS03885,VNG0998G
VNG_0999a	CopG domain protein	VNG_0999a,VNG_RS03895
VNG_0999H	uncharacterized protein	VNG_0999H,VNG_RS03890,VNG0999H
VNG_1000H	DUF2061 family protein	VNG_1000H,VNG_RS03900,VNG1000H
VNG_1001G	inosine-5'-monophosphate dehydrogenase	VNG_1001G,VNG_RS03905,VNG1001G
VNG_1002H	uncharacterized protein	VNG_1002H,VNG_RS03910,VNG1002H
VNG_1003H	small CPxCG-related zinc finger protein	VNG_1003H,VNG_RS03915,VNG1003H
VNG_1005H	uncharacterized protein	VNG_1005H,VNG_RS03920,VNG1005H
VNG_1006H	uncharacterized protein	VNG_1006H,VNG_RS13310,VNG1006H
VNG_1007a	integrase family protein	VNG_1007a,VNG_RS13960
VNG_1008G	archaellin A1	VNG_1008G,VNG_RS03935,VNG1008G
VNG_1009G	archaellin A2	VNG_1009G,VNG_RS03940,VNG1009G
VNG_1011C	GTP cyclohydrolase 3	VNG_1011C,VNG_RS03945,VNG1011Cm
VNG_1012H	glutaredoxin	VNG_1012H,VNG_RS03950,VNG1012H
VNG_1013G	transducer protein HtrXIII	VNG_1013G,VNG_RS03955,VNG1013G
VNG_1014G	DNA-directed DNA polymerase Y	VNG_1014G,VNG_RS03960,VNG1014G
VNG_1015H	uncharacterized protein	VNG_1015H,VNG_RS03965,VNG1015H
VNG_1017H	probable glycosyltransferase, type 1	VNG_1017H,VNG_RS03970,VNG1017H
VNG_1018G	probable oxidoreductase (aldo-keto reductase family protein)	VNG_1018G,VNG_RS03975,VNG1018G
VNG_1020C	CDP-alcohol 1-archaetidyltransferase	VNG_1020C,VNG_RS03980,VNG1020C
VNG_1021C	GTP cyclohydrolase 3	VNG_1021C,VNG_RS03985,VNG1021C
VNG_1023C	oxidoreductase (homolog to zinc-containingalcohol dehydrogenase / threonine 3-dehydrogenase)	VNG_1023C,VNG_RS03990,VNG1023C
VNG_1024C	PtpS family protein	VNG_1024C,VNG_RS03995,VNG1024C
VNG_1025H	homolog to S-adenosylmethionine-dependentmethyltransferase	VNG_1025H,VNG_RS04000,VNG1025H
VNG_1026H	DUF457 family protein	VNG_1026H,VNG_RS04005,VNG1026H
VNG_1027G	triosephosphate isomerase	VNG_1027G,VNG_RS04010,VNG1027G
VNG_1029C	cro/C1 family transcription regulator	VNG_1029C,VNG_RS04015,VNG1029C
VNG_1030G	probable archaetidylglycerolphosphate synthase	VNG_1030G,VNG_RS04020,VNG1030G
VNG_1031C	probable adenylate kinase	VNG_1031C,VNG_RS04025,VNG1031C
VNG_1033G	histidinol-phosphate aminotransferase	VNG_1033G,VNG_RS04030,VNG1033G
VNG_1034H	uncharacterized protein	VNG_1034H,VNG_RS04035,VNG1034H
VNG_1035C	GMC family oxidoreductase	VNG_1035C,VNG_RS04040,VNG1035C
VNG_1036H	LacC domain protein	VNG_1036H,VNG_RS04045,VNG1036H
VNG_1037G	fumarylacetoacetase family protein	VNG_1037G,VNG_RS04050,VNG1037G
VNG_1038C	metal-dependent hydrolase domain protein	VNG_1038C,VNG_RS04055,VNG1038C
VNG_1039H	uncharacterized protein	VNG_1039H,VNG_RS04060,VNG1039H
VNG_1041a	OsmC domain protein	VNG_1041a,VNG_RS04065
VNG_1041H	spurious ORF	VNG_1041H,VNG1041H
VNG_1042H	uncharacterized protein	VNG_1042H,VNG_RS04070,VNG1042H
VNG_1046H	uncharacterized protein	VNG_1046H,VNG_RS04075,VNG1046H
VNG_1047H	uncharacterized protein	VNG_1047H,VNG_RS14205,VNG1047H
VNG_1048G	UDP-glucose 6-dehydrogenase AglM	VNG_1048G,VNG_RS04080,VNG1048G
VNG_1050H	TRAM domain protein	VNG_1050H,VNG_RS04085,VNG1050H
VNG_1052H	beta-lactamase domain protein	VNG_1052H,VNG_RS04090,VNG1052H
VNG_1053G	dolichyl-phosphate glucosyltransferase AglJ	VNG_1053G,VNG_RS04095,VNG1053G
VNG_1054G	probable flippase AglR	VNG_1054G,VNG_RS04100,VNG1054G
VNG_1055G	UTP--glucose-1-phosphate uridylyltransferaseAglF	VNG_1055G,VNG_RS04105,VNG1055G
VNG_1056C	AlkP-core domain protein	VNG_1056C,VNG_RS04110,VNG1056C
VNG_1057C	AlkP-core domain protein	VNG_1057C,VNG_RS04115,VNG1057C
VNG_1058H	AglQ family protein	VNG_1058H,VNG_RS04120,VNG1058H
VNG_1059C	probable glycosyltransferase, type 1	VNG_1059C,VNG_RS04125,VNG1059C
VNG_1060H	FkbM family methyltransferase	VNG_1060H,VNG_RS04130,VNG1060H
VNG_1062G	glycosyltransferase AglE	VNG_1062G,VNG_RS04135,VNG1062G
VNG_1063H	uncharacterized protein	VNG_1063H,VNG_RS04140,VNG1063H
VNG_1064H	uncharacterized protein	VNG_1064H,VNG_6341H,VNG_RS04145,VNG_RS11730,VNG1064H,VNG6341H
VNG_1065C	probable hexuronic acid methyltransferase	VNG_1065C,VNG_RS04150,VNG1065C
VNG_1066C	glycosyltransferase AglI	VNG_1066C,VNG_RS04155,VNG1066C
VNG_1067G	glucuronosyltransferase AglG	VNG_1067G,VNG_RS04160,VNG1067G
VNG_1068G	dolichyl-monophosphooligosaccharide--proteinglycotransferase AglB	VNG_1068G,VNG_RS04165,VNG1068G
VNG_1069C	DUF368 family protein	VNG_1069C,VNG_RS04170,VNG1069C
VNG_1070G	glycerol-3-phosphate dehydrogenase subunit A	VNG_1070G,VNG_RS04175,VNG1070Gm
VNG_1071G	transcription initiation factor TFE beta subunit	VNG_1071G,VNG_RS04180,VNG1071G
VNG_1073G	o-succinylbenzoate--CoA ligase	VNG_1073G,VNG_RS04185,VNG1073G
VNG_1074G	o-succinylbenzoate synthase	VNG_1074G,VNG_RS04190,VNG1074G
VNG_1075G	1,4-dihydroxy-2-naphthoatepolyprenyltransferase	VNG_1075G,VNG_RS04195,VNG1075G
VNG_1077G	compatible solute transport protein (probablesubstrate choline/glycine betaine)	VNG_1077G,VNG_RS04200,VNG1077G
VNG_1079G	1,4-dihydroxy-2-naphthoyl-CoA synthase	VNG_1079G,VNG_RS04205,VNG1079G
VNG_1081G	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	VNG_1081G,VNG_RS04210,VNG1081G
VNG_1083G	isochorismate synthase	VNG_1083G,VNG_RS04215,VNG1083G
VNG_1084G	YuiH family molybdopterin-binding domainprotein	VNG_1084G,VNG_RS04220,VNG1084G
VNG_1085H	uncharacterized protein	VNG_1085H,VNG_RS04225,VNG1085H
VNG_1086C	UPF0058 family protein	VNG_1086C,VNG_RS04230,VNG1086C
VNG_1087C	uncharacterized protein	VNG_1087C,VNG_RS04235,VNG1087C
VNG_1088C	HTH domain protein	VNG_1088C,VNG_RS04240,VNG1088C
VNG_1089G	adenylosuccinate synthase	VNG_1089G,VNG_RS04245,VNG1089G
VNG_1090a	uncharacterized protein	VNG_1090a,VNG_RS04255
VNG_1090H	methyltransferase activator Trm112	VNG_1090H,VNG_RS04250,VNG1090H
VNG_1092C	uncharacterized protein	VNG_1092C,VNG_RS04260,VNG1092C
VNG_1093C	sirohydrochlorin cobaltochelatase	VNG_1093C,VNG_RS04265,VNG1093C
VNG_1094H	LppX domain protein	VNG_1094H,VNG_RS04270,VNG1094H
VNG_1095H	uncharacterized protein	VNG_1095H,VNG_RS04275,VNG1095H
VNG_1096H	ArsR family transcription regulator	VNG_1096H,VNG_RS04280,VNG1096H
VNG_1097G	cysteine--tRNA ligase	VNG_1097G,VNG_RS04285,VNG1097G
VNG_1099C	YcgG family protein	VNG_1099C,VNG_RS04290,VNG1099C
VNG_1100C	isochorismatase family protein	VNG_1100C,VNG_RS04295,VNG1100C
VNG_1101C	DUF112 family protein	VNG_1101C,VNG_RS04300,VNG1101C
VNG_1103G	50S ribosomal protein L12	VNG_1103G,VNG_RS04305,VNG1103G
VNG_1104G	50S ribosomal protein L10	VNG_1104G,VNG_RS04310,VNG1104G
VNG_1105G	50S ribosomal protein L1	VNG_1105G,VNG_RS04315,VNG1105G
VNG_1108G	50S ribosomal protein L11	VNG_1108G,VNG_RS04320,VNG1108G
VNG_1110C	uncharacterized protein	VNG_1110C,VNG_RS04325,VNG1110C
VNG_1111G	GTP-binding protein Drg	VNG_1111G,VNG_RS04330,VNG1111G
VNG_1112H	TIGR04206 family protein	VNG_1112H,VNG_RS04335,VNG1112H
VNG_1114G	glyoxalase domain protein	VNG_1114G,VNG_RS04340,VNG1114G
