representative	gene_symbol	cog_id	cog_name	cog_category	functional_pathway
VNG_0715G	ThiC	COG0422	4-amino-2-methyl-5-hydroxymethylpyrimidine (HMP) synthase ThiC	Coenzyme transport and metabolism	Thiamine biosynthesis
VNG_0718C	Cof	COG0561	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	Coenzyme transport and metabolism	Undefined
VNG_0719G	NagD	COG0647	Ribonucleotide monophosphatase NagD, HAD superfamily	Nucleotide transport and metabolism	Undefined
VNG_0720G	NorM	COG0534	Na+-driven multidrug efflux pump, DinF/NorM/MATE family	Defense mechanisms	Undefined
VNG_0723G	PepP	COG0006	Xaa-Pro aminopeptidase	Amino acid transport and metabolism	Undefined
VNG_0726C	AcrR	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	Transcription	Undefined
VNG_0727C	NorM	COG0534	Na+-driven multidrug efflux pump, DinF/NorM/MATE family	Defense mechanisms	Undefined
VNG_0730C	PanE	COG1893	Ketopantoate reductase	Coenzyme transport and metabolism	Pantothenate/CoA biosynthesis
VNG_0732G	RCL1	COG0430	RNA 3'-terminal phosphate cyclase	RNA processing and modification	Undefined
VNG_0734G	SUA7	COG1405	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB	Transcription	Undefined
VNG_0740C	Undefined	COG1878	Kynurenine formamidase	Amino acid transport and metabolism	Undefined
VNG_0742H	DICT	COG4250	DICT sensory domain found in diguanylate cyclases and two-component systems	Signal transduction mechanisms	Undefined
VNG_0743H	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_0745G	SpoVR	COG2719	Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_0746C	YeaH	COG2718	Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family	General function prediction only	Undefined
VNG_0748G	PrkA	COG2766	Predicted Ser/Thr protein kinase	Signal transduction mechanisms	Undefined
VNG_0749G	PrkA	COG2766	Predicted Ser/Thr protein kinase	Signal transduction mechanisms	Undefined
VNG_0750C	MsrC	COG1956	GAF domain-containing protein, putative methionine-R-sulfoxide reductase	Defense mechanisms	Undefined
VNG_0751C	PadR	COG1695	DNA-binding transcriptional regulator, PadR family	Transcription	Undefined
VNG_0752G	WcaG	COG0451	Nucleoside-diphosphate-sugar epimerase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0753G	PitA	COG0306	Phosphate/sulfate permease	Inorganic ion transport and metabolism	Undefined
VNG_0755C	TRM56	COG1303	tRNA C56-2-O'-methylase, SpoU family	Translation, ribosomal structure and biogenesis	Undefined
VNG_0757G	TFA1	COG1675	Transcription initiation factor IIE, alpha subunit	Transcription	Undefined
VNG_0758C	Undefined	COG4044	Uncharacterized conserved protein, DUF2110 domain	Function unknown	Undefined
VNG_0761G	CinA	COG1058	ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA	Replication, recombination and repair	Undefined
VNG_0764C	Undefined	COG3199	NAD kinase	Nucleotide transport and metabolism	Undefined
VNG_0766G	PhoU	COG0704	Phosphate uptake regulator PhoU	Inorganic ion transport and metabolism	Undefined
VNG_0769H	CoxG	COG3427	Carbon monoxide dehydrogenase subunit CoxG	Energy production and conversion	Undefined
VNG_0771G	AdhE	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	Lipid transport and metabolism	Proline degradation
VNG_0775G	CaiA	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_0777G	TagD	COG0615	Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family	Cell wall/membrane/envelope biogenesis	Riboflavin/FAD biosynthesis
VNG_0778C	Rri1	COG1310	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0784G	PssA	COG1183	Phosphatidylserine synthase	Lipid transport and metabolism	Undefined
VNG_0786G	PetE	COG3794	Plastocyanin	Energy production and conversion	Undefined
VNG_0787G	RPS3A	COG1890	Ribosomal protein S3AE	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_0790G	RpsO	COG0184	Ribosomal protein S15P/S13E	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_0794G	Med	COG1744	Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN	Signal transduction mechanisms	Undefined
VNG_0795G	PetE	COG3794	Plastocyanin	Energy production and conversion	Undefined
VNG_0796G	MetC	COG0626	Cystathionine beta-lyase/cystathionine gamma-synthase	Amino acid transport and metabolism	Methionine biosynthesis
VNG_0798H	EfeB	COG2837	Periplasmic deferrochelatase/peroxidase EfeB	Inorganic ion transport and metabolism	Undefined
VNG_0799C	LolD	COG1136	ABC-type lipoprotein export system, ATPase component	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0804C	Undefined	COG3294	Metal-dependent phosphatase/phosphodiesterase, HD supefamily	General function prediction only	Undefined
VNG_0808G	AdhE	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	Lipid transport and metabolism	Proline degradation
VNG_0813G	PotD	COG0687	Spermidine/putrescine-binding periplasmic protein	Amino acid transport and metabolism	Undefined
VNG_0815G	CurA	COG2130	NADPH-dependent curcumin reductase CurA	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_0816G	ChiA|Undefined	COG3325|COG3979	Chitinase, GH18 family|Chitodextrinase	Carbohydrate transport and metabolism	Undefined
VNG_0818C	ChiA|Undefined	COG3325|COG3979	Chitinase, GH18 family|Chitodextrinase	Carbohydrate transport and metabolism	Undefined
VNG_0819C	Undefined	COG3979	Chitodextrinase	Carbohydrate transport and metabolism	Undefined
VNG_0822C	TadC	COG2064	Flp pilus assembly protein TadC	Extracellular structures	Undefined
VNG_0823G	VirB11	COG0630	Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase ArlI/FlaI	Cell motility	Undefined
VNG_0824G	MobA	COG0746	Molybdopterin-guanine dinucleotide biosynthesis protein A	Coenzyme transport and metabolism	Molybdopterin biosynthesis
VNG_0826C	DmsR	COG3413	Predicted transcriptional regulator, contains HTH domain	General function prediction only	Undefined
VNG_0829G	BisC	COG0243	Anaerobic selenocysteine-containing dehydrogenase	Energy production and conversion	Undefined
VNG_0830G	HybA	COG0437	Fe-S-cluster-containing dehydrogenase component (DMSO reductase)	Energy production and conversion	Undefined
VNG_0831G	HybB	COG5557	Ni/Fe-hydrogenase 2 integral membrane subunit HybB	Energy production and conversion	Undefined
VNG_0832C	TorD	COG3381	Cytoplasmic chaperone TorD involved in molybdoenzyme TorA maturation	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0834C	YidC	COG1422	Archaeal YidC/Oxa1-related membrane protein, DUF106 family	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0835G	MntR	COG1321	Mn-dependent transcriptional regulator MntR, DtxR family	Transcription	Undefined
VNG_0838G	XerD	COG4974	Site-specific recombinase XerD	Replication, recombination and repair	Undefined
VNG_0841G	CynT	COG0288	Carbonic anhydrase	Inorganic ion transport and metabolism	Undefined
VNG_0851C	UlaG	COG2220	L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily	Carbohydrate transport and metabolism	Undefined
VNG_0852C	DmsR	COG3413	Predicted transcriptional regulator, contains HTH domain	General function prediction only	Undefined
VNG_0853C	YlbF	COG3679	Cell fate regulator YlbF, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development)	Signal transduction mechanisms	Undefined
VNG_0854C	DPH2	COG1736	Diphthamide synthase subunit DPH2	Translation, ribosomal structure and biogenesis	Undefined
VNG_0857C	Undefined	COG2263	Predicted RNA methylase	General function prediction only	Undefined
VNG_0858C	GlpG	COG0705	Membrane-associated serine protease, rhomboid family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0860G	RPB11	COG1761	DNA-directed RNA polymerase, subunit L/RPAC2	Transcription	RNA polymerase
VNG_0862G	HisF	COG0107	Imidazole glycerol phosphate synthase subunit HisF	Amino acid transport and metabolism	Histidine biosynthesis
VNG_0864G	PurL1	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	Nucleotide transport and metabolism	Purine biosynthesis
VNG_0865C	YciV	COG0613	5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain	Nucleotide transport and metabolism	Undefined
VNG_0868H	YjhB	COG1051	ADP-ribose pyrophosphatase YjhB, NUDIX family	Nucleotide transport and metabolism	Undefined
VNG_0869G	SUA7	COG1405	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB	Transcription	Undefined
VNG_0870G	GatC	COG0721	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_0873G	YciA	COG1607	Acyl-CoA hydrolase	Lipid transport and metabolism	Undefined
VNG_0874G	Undefined	COG1916	Pheromone shutdown protein TraB, contains GTxH motif (function unknown)	Function unknown	Undefined
VNG_0876G	PurM	COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	Nucleotide transport and metabolism	Purine biosynthesis
VNG_0878G	AF2118	COG3620	Predicted transcriptional regulator, contains an XRE-type HTH domain (archaeal members contain CBS pair)	Transcription	Undefined
VNG_0879C	Undefined	COG1885	Uncharacterized conserved protein, UPF0212 family	Function unknown	Undefined
VNG_0880G	PRE1	COG0638	20S proteasome, alpha and beta subunits	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0881G	CDC9	COG1793	ATP-dependent DNA ligase	Replication, recombination and repair	Undefined
VNG_0882G	NagD	COG0647	Ribonucleotide monophosphatase NagD, HAD superfamily	Nucleotide transport and metabolism	Undefined
VNG_0883H	UlaG	COG2220	L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily	Carbohydrate transport and metabolism	Undefined
VNG_0884G	Spo11	COG1697	DNA topoisomerase VI, subunit A	Replication, recombination and repair	Undefined
VNG_0885G	Undefined	COG1389	DNA topoisomerase VI, subunit B	Replication, recombination and repair	Undefined
VNG_0887G	GyrB	COG0187	DNA gyrase/topoisomerase IV, subunit B	Replication, recombination and repair	Undefined
VNG_0889G	GyrA	COG0188	DNA gyrase/topoisomerase IV, subunit A	Replication, recombination and repair	Undefined
VNG_0891G	Ndh	COG1252	NADH dehydrogenase, FAD-containing subunit	Energy production and conversion	Undefined
VNG_0892a	GrpB	COG2320	GrpB domain, predicted nucleotidyltransferase, UPF0157 family	General function prediction only	Undefined
VNG_0893G	Udp	COG2820	Uridine phosphorylase	Nucleotide transport and metabolism	Pyrimidine salvage
VNG_0896G	Cdd	COG0295	Cytidine deaminase	Nucleotide transport and metabolism	Pyrimidine salvage
VNG_0897G	NupQ	COG1079	ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ	Nucleotide transport and metabolism	Undefined
VNG_0898G	NupP	COG4603	ABC-type guanosine uptake system NupNOPQ, permease component NupP	Nucleotide transport and metabolism	Undefined
VNG_0901G	NupO	COG3845	ABC-type guanosine uptake system NupNOPQ, ATPase component NupO	Nucleotide transport and metabolism	Undefined
VNG_0903C	Med	COG1744	Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN	Signal transduction mechanisms	Undefined
VNG_0905G	ManB	COG1109	Phosphomannomutase	Carbohydrate transport and metabolism	Undefined
VNG_0908G	PutP	COG0591	Na+/proline symporter	Amino acid transport and metabolism	Undefined
VNG_0915G	Bna5	COG3844	Kynureninase	Amino acid transport and metabolism	Undefined
VNG_0918H	Undefined|InsA	COG3676|COG3677	Transposase and inactivated derivatives|Transposase InsA	Mobilome: prophages, transposons	Undefined
VNG_0921G	PotA	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component	Amino acid transport and metabolism	Undefined
VNG_0923G	FbpB	COG1178	ABC-type Fe3+ transport system, permease component	Inorganic ion transport and metabolism	Undefined
VNG_0924G	AfuA	COG1840	ABC-type Fe3+ transport system, periplasmic component	Inorganic ion transport and metabolism	Undefined
VNG_0930G	SsuD	COG2141	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	Coenzyme transport and metabolism	Pyrimidine degradation
VNG_0931G	PaaJ	COG0183	Acetyl-CoA acetyltransferase	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_0932C	Undefined	COG1545	Uncharacterized OB-fold protein, contains Zn-ribbon domain	General function prediction only	Undefined
VNG_0933G	FadH	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	Energy production and conversion	Undefined
VNG_0935G	NfnB	COG0778	Nitroreductase	Energy production and conversion	Pyrimidine degradation
VNG_0936C	Nit2	COG0388	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate	Energy production and conversion	Undefined
VNG_0937G	AdhE	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	Lipid transport and metabolism	Proline degradation
VNG_0938G	ZupT	COG0428	Zinc transporter ZupT	Inorganic ion transport and metabolism	Undefined
VNG_0940G	PatZN	COG1042	Acyl-CoA synthetase (NDP forming)	Energy production and conversion	Undefined
VNG_0941C	PtaN	COG0857	BioD-like N-terminal domain of phosphotransacetylase	General function prediction only	Undefined
VNG_0942G	CheW	COG0835	Chemotaxis signal transduction protein CheW	Signal transduction mechanisms	Undefined
VNG_0946G	FlhG	COG0455	MinD-like ATPase FlhG/YlxH, activator of the FlhF-type GTPase	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_0947G	ArlJ	COG1955	Archaellum biogenesis protein ArlJ/FlaJ, TadC family	Cell motility	Undefined
VNG_0949G	VirB11	COG0630	Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase ArlI/FlaI	Cell motility	Undefined
VNG_0950a	FlaG	COG3354	Archaellum component FlaG, FlaF/FlaG flagellin family	Cell motility	Undefined
VNG_0950G	FlaH	COG2874	Archaellum biogenesis ATPase ArlH/FlaH	Cell motility	Undefined
VNG_0953C	FlaF	COG3353	Archaellum component FlaF, FlaF/FlaG flagellin family	Cell motility	Undefined
VNG_0954C	FlaC	COG3352	Archaellum component ArlC/FlaC	Cell motility	Undefined
VNG_0955G	FlaD	COG3351	Archaellum component ArlD/FlaD/FlaE	Cell motility	Undefined
VNG_0960G	FlaB	COG1681	Archaellin (archaeal flagellin)	Cell motility	Undefined
VNG_0961G	FlaB	COG1681	Archaellin (archaeal flagellin)	Cell motility	Undefined
VNG_0962G	FlaB	COG1681	Archaellin (archaeal flagellin)	Cell motility	Undefined
VNG_0964C	CheF	COG2469	Archaeal chemotaxis protein CheF	Signal transduction mechanisms	Undefined
VNG_0965C	CheF	COG2469	Archaeal chemotaxis protein CheF	Signal transduction mechanisms	Undefined
VNG_0966G	CheR	COG1352	Methylase of chemotaxis methyl-accepting proteins	Signal transduction mechanisms	Undefined
VNG_0967G	CheD	COG1871	Chemotaxis receptor (MCP) glutamine deamidase CheD	Signal transduction mechanisms	Undefined
VNG_0969H	CheC	COG1776	Phosphoaspartate phosphatase CheC, specific for CheY-P	Signal transduction mechanisms	Undefined
VNG_0970G	CheC	COG1776	Phosphoaspartate phosphatase CheC, specific for CheY-P	Signal transduction mechanisms	Undefined
VNG_0971G	CheA	COG0643	Chemotaxis protein histidine kinase CheA	Signal transduction mechanisms	Undefined
VNG_0973G	CheB	COG2201	Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains	Signal transduction mechanisms	Undefined
VNG_0976G	CheW	COG0835	Chemotaxis signal transduction protein CheW	Signal transduction mechanisms	Undefined
VNG_0982C	YlmC	COG1873	Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain	General function prediction only	Undefined
VNG_0983C	NrnA	COG0618	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs	Nucleotide transport and metabolism	Undefined
VNG_0988H	Undefined	COG3815	Uncharacterized membrane protein	Function unknown	Undefined
VNG_0989C	XerD	COG4974	Site-specific recombinase XerD	Replication, recombination and repair	Undefined
VNG_0996G	DmsR	COG3413	Predicted transcriptional regulator, contains HTH domain	General function prediction only	Undefined
VNG_0997G	Acs	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	Lipid transport and metabolism	Undefined
VNG_0998G	PdxI	COG0667	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family	Coenzyme transport and metabolism	Undefined
VNG_1000H	Undefined	COG3205	Uncharacterized membrane protein, DUF2061 family	Function unknown	Undefined
VNG_1001G	GuaB	COG0516	IMP dehydrogenase/GMP reductase	Nucleotide transport and metabolism	Purine biosynthesis
VNG_1008G	FlaB	COG1681	Archaellin (archaeal flagellin)	Cell motility	Undefined
VNG_1009G	FlaB	COG1681	Archaellin (archaeal flagellin)	Cell motility	Undefined
VNG_1011C	Gch31	COG2429	Archaeal GTP cyclohydrolase III	Nucleotide transport and metabolism	Riboflavin/FAD biosynthesis
VNG_1012H	GrxC	COG0695	Glutaredoxin	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_1014G	DinP	COG0389	Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair	Replication, recombination and repair	Undefined
VNG_1018G	ARA1|MviM	COG0656|COG0673	Aldo/keto reductase, related to diketogulonate reductase|Predicted dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism|General function prediction only	Undefined
VNG_1020C	PgsA	COG0558	Phosphatidylglycerophosphate synthase	Lipid transport and metabolism	Phospholipid biosynthesis
VNG_1021C	Gch31	COG2429	Archaeal GTP cyclohydrolase III	Nucleotide transport and metabolism	Riboflavin/FAD biosynthesis
VNG_1023C	Tdh	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase	Amino acid transport and metabolism	Non-phosphorylated Entner-Doudoroff pathway
VNG_1024C	QueD	COG0720	6-pyruvoyl-tetrahydropterin synthase	Coenzyme transport and metabolism	tRNA modification
VNG_1027G	TpiA	COG0149	Triosephosphate isomerase	Carbohydrate transport and metabolism	Glycolysis
VNG_1029C	aMBF1	COG1813	Archaeal ribosome-binding protein aMBF1, putative translation factor, contains Zn-ribbon and HTH domains	Translation, ribosomal structure and biogenesis	Undefined
VNG_1030G	PgsA	COG0558	Phosphatidylglycerophosphate synthase	Lipid transport and metabolism	Phospholipid biosynthesis
VNG_1031C	Fap7	COG1936	Broad-specificity NMP kinase	Nucleotide transport and metabolism	Undefined
VNG_1033G	HisC	COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	Amino acid transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1035C	BetA	COG2303	Choline dehydrogenase or related flavoprotein	Lipid transport and metabolism	Non-phosphorylated Entner-Doudoroff pathway
VNG_1037G	YcgM	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_1038C	UlaG	COG2220	L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily	Carbohydrate transport and metabolism	Undefined
VNG_1041a	OsmC	COG1764	Organic hydroperoxide reductase OsmC/OhrA	Defense mechanisms	Undefined
VNG_1048G	Ugd	COG1004	UDP-glucose 6-dehydrogenase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1050H	Undefined	COG3269	Predicted RNA-binding protein, contains TRAM domain	General function prediction only	Undefined
VNG_1054G	RfbX	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1055G	RmlA1	COG1209	dTDP-glucose pyrophosphorylase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1057C	AslA	COG3119	Arylsulfatase A or related enzyme, AlkP superfamily	Inorganic ion transport and metabolism	Undefined
VNG_1067G	WcaA	COG0463	Glycosyltransferase involved in cell wall bisynthesis	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1068G	Stt3	COG1287	Asparagine N-glycosylation enzyme, membrane subunit Stt3	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_1069C	Undefined	COG2035	Uncharacterized membrane protein, DUF368 family	Function unknown	Undefined
VNG_1073G	MenE/FadK	COG0318	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	Lipid transport and metabolism	Menaquinone biosynthesis
VNG_1074G	RspA	COG4948	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	Cell wall/membrane/envelope biogenesis	Non-phosphorylated Entner-Doudoroff pathway
VNG_1075G	MenA	COG1575	1,4-dihydroxy-2-naphthoate polyprenyltransferase	Coenzyme transport and metabolism	Menaquinone biosynthesis
VNG_1077G	BetT	COG1292	Choline-glycine betaine transporter	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1079G	MenB	COG0447	1,4-Dihydroxy-2-naphthoyl-CoA synthase	Coenzyme transport and metabolism	Menaquinone biosynthesis
VNG_1081G	MenD	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	Coenzyme transport and metabolism	Menaquinone biosynthesis
VNG_1083G	MenF	COG1169	Isochorismate synthase EntC	Coenzyme transport and metabolism	Menaquinone biosynthesis
VNG_1084G	MsrP	COG2041	Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases	Energy production and conversion	Undefined
VNG_1086C	Undefined	COG1745	Uncharacterized metal-binding protein MJ1132, UPF0058 family	Function unknown	Undefined
VNG_1088C	Undefined	COG3388	Predicted transcriptional regulator	Transcription	Undefined
VNG_1089G	PurA	COG0104	Adenylosuccinate synthase	Nucleotide transport and metabolism	Purine biosynthesis
VNG_1090H	Trm112	COG2835	RNA methyltransferase activator Trm112/YbaR	Translation, ribosomal structure and biogenesis	Undefined
VNG_1093C	SirB	COG2138	Sirohydrochlorin ferrochelatase	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_1094H	LolA	COG2834	Outer membrane lipoprotein-sorting protein	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1097G	CysS	COG0215	Cysteinyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_1099C	YcgG	COG3403	Uncharacterized conserved protein YcgG, contains conserved FPC and CPF motifs	Function unknown	Undefined
VNG_1100C	PncA	COG1335	Nicotinamidase-related amidase	Coenzyme transport and metabolism	Pyrimidine degradation
VNG_1101C	Undefined	COG1784	TctA family transporter	General function prediction only	Undefined
VNG_1104G	RplJ	COG0244	Ribosomal protein L10	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1105G	RplA	COG0081	Ribosomal protein L1	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1108G	RplK	COG0080	Ribosomal protein L11	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1111G	Rbg1	COG1163	Ribosome-interacting GTPase RBG1	Translation, ribosomal structure and biogenesis	Undefined
VNG_1114G	GloA	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_1115H	TrmO	COG1720	tRNA (Thr-GGU) A37 N6-methylase	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_1117C	Trm5	COG2520	tRNA G37 N-methylase Trm5	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_1118G	DPH5	COG1798	Diphthamide biosynthesis methyltransferase	Translation, ribosomal structure and biogenesis	Undefined
VNG_1120H	SRPBCC	COG4276	Ligand-binding SRPBCC domain	General function prediction only	Undefined
VNG_1121G	AspB	COG0436	Aspartate/methionine/tyrosine aminotransferase	Amino acid transport and metabolism	Isoleucine, leucine, valine biosynthesis
VNG_1123G	Lrp	COG1522	DNA-binding transcriptional regulator, Lrp family	Transcription	Undefined
VNG_1125G	PorB	COG1013	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit	Energy production and conversion	Pyruvate oxidation
VNG_1128G	PorA|PorG	COG0674|COG1014	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit|Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit	Energy production and conversion	Pyruvate oxidation
VNG_1131G	Mrp	COG0489	Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_1132G	RpsM	COG0099	Ribosomal protein S13	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1133G	RpsD	COG0522	Ribosomal protein S4 or related protein	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1134G	RpsK	COG0100	Ribosomal protein S11	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1136G	RpoA	COG0202	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	Transcription	RNA polymerase
VNG_1137G	RPL18A	COG1727	Ribosomal protein L18E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_1138G	RplM	COG0102	Ribosomal protein L13	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1139G	RpsI	COG0103	Ribosomal protein S9	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1140G	RPB10	COG1644	DNA-directed RNA polymerase, subunit N (RpoN/RPB10)	Transcription	Undefined
VNG_1142G	Eno	COG0148	Enolase	Carbohydrate transport and metabolism	Glycolysis
VNG_1143G	RpsB	COG0052	Ribosomal protein S2	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_1145G	ERG12	COG1577	Mevalonate kinase	Lipid transport and metabolism	Isoprenoid biosynthesis
VNG_1148G	Undefined	COG1608	Isopentenyl phosphate kinase	Lipid transport and metabolism	Undefined
VNG_1150G	IspA	COG0142	Geranylgeranyl pyrophosphate synthase	Coenzyme transport and metabolism	Isoprenoid biosynthesis
VNG_1153G	GlnS	COG0008	Glutamyl- or glutaminyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Heme biosynthesis
VNG_1156G	TmcA	COG1444	tRNA(Met) C34 N-acetyltransferase TmcA	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_1157G	Rpl7Ae	COG1358	Ribosomal protein L7Ae or related RNA K-turn-binding protein	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_1158G	RPS28A	COG2053	Ribosomal protein S28E/S33	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_1160G	Ndk	COG0105	Nucleoside diphosphate kinase	Nucleotide transport and metabolism	Pyrimidine biosynthesis
VNG_1162H	MetE	COG0620	Methionine synthase II (cobalamin-independent)	Amino acid transport and metabolism	Methionine biosynthesis
VNG_1164C	MscS	COG0668	Small-conductance mechanosensitive channel	Cell wall/membrane/envelope biogenesis	Undefined
VNG_1165G	RsmA	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	Translation, ribosomal structure and biogenesis	16S rRNA modification
VNG_1168C	Undefined	COG1491	Predicted nucleic acid-binding OB-fold protein	General function prediction only	Undefined
VNG_1169C	RpoF	COG1460	DNA-directed RNA polymerase, subunit F	Transcription	RNA polymerase
VNG_1170G	RPL21A	COG2139	Ribosomal protein L21E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_1172G	MetC	COG0626	Cystathionine beta-lyase/cystathionine gamma-synthase	Amino acid transport and metabolism	Methionine biosynthesis
